SM_TikTokURL,T_Partei
https://www.tiktok.com/@spdbt,SPD
https://www.tiktok.com/@afdfraktionimbundestag,AfD
https://www.tiktok.com/@fdpbt,FDP
https://www.tiktok.com/@dielinkebt,Linke
https://www.tiktok.com/@gruenebundestag,Grüne
https://www.tiktok.com/@bsw_bt,BSW
https://www.tiktok.com/@gruenelandtagbwpraktis,Grüne
https://www.tiktok.com/@spdlandtag_bw,SPD
https://www.tiktok.com/@fdplandtagbw,FDP
https://www.tiktok.com/@afdfraktion.bw,AfD
https://www.tiktok.com/@csu_lt,CDU/CSU
https://www.tiktok.com/@gruene_ltby,Grüne
https://www.tiktok.com/@bayernspd.landtag,SPD
https://www.tiktok.com/@bvb_fw_landtag,Sonstige
https://www.tiktok.com/@fw_bayern,Sonstige
https://www.tiktok.com/@afd.landtag.bayern,AfD
https://www.tiktok.com/@cdu.fraktion.berlin,CDU/CSU
https://www.tiktok.com/@gruenefraktionb,Grüne
https://www.tiktok.com/@hauptstadtfraktion,AfD
https://www.tiktok.com/@cdufraktion.brandenburg,CDU/CSU
https://www.tiktok.com/@spdfraktionbrandenburg,SPD
https://www.tiktok.com/@afd_fraktionbb,AfD
https://www.tiktok.com/@spdfraktionhb,SPD
https://www.tiktok.com/@fdp.fraktion.bremen,FDP
https://www.tiktok.com/@bd.fraktion.bb,Sonstige
https://www.tiktok.com/@cdu_hamburg,CDU/CSU
https://www.tiktok.com/@gruene_hamburg,Grüne
https://www.tiktok.com/@spd_hamburg,SPD
https://www.tiktok.com/@linksfraktionhamburg,Linke
https://www.tiktok.com/@afdfraktionhamburg,AfD
https://www.tiktok.com/@fdp_hlt,FDP
https://www.tiktok.com/@afdfraktion.hesse,AfD
https://www.tiktok.com/@cdufraktionmv,CDU/CSU
https://www.tiktok.com/@spdfraktionmv,SPD
https://www.tiktok.com/@linksfraktionmv,Linke
https://www.tiktok.com/@gruenefraktionmv,Grüne
https://www.tiktok.com/@fdpfraktion.mv,FDP
https://www.tiktok.com/@afd.fraktion.mv,AfD
https://www.tiktok.com/@gruene_fraktion_nds,Grüne
https://www.tiktok.com/@afd.fraktion.nds,AfD
https://www.tiktok.com/@gruene.fraktion.nrw,Grüne
https://www.tiktok.com/@fdpltfnrw,FDP
https://www.tiktok.com/@afd.fraktion.nrw,AfD
https://www.tiktok.com/@gruenefraktionrlp,Grüne
https://www.tiktok.com/@spdfraktionrlp,SPD
https://www.tiktok.com/@afd_rheinlandpfalz,AfD
https://www.tiktok.com/@spd.fraktion.saarland,SPD
https://www.tiktok.com/@afd_im_landtag_saarland,AfD
https://www.tiktok.com/@spdsaxlt,SPD
https://www.tiktok.com/@linksfraktion.sachsen,Linke
https://www.tiktok.com/@spd_fraktion_lsa,SPD
https://www.tiktok.com/@linksfraktion.lsa,Linke
https://www.tiktok.com/@gruenefraktionlsa,Grüne
